iteration,games,samples,avg_length,policy_loss,value_loss,total_loss,seconds,device
0,4,800,200.0,5.283479452133179,0.3134968690574169,5.596976321190596,10.356161117553711,cpu
1,4,1449,162.25,5.200955629348755,0.39494191110134125,5.595897540450096,8.319811582565308,cpu
2,4,2229,195.0,5.136504352092743,0.339748740196228,5.476253092288971,8.64506721496582,cpu
3,4,3205,244.0,5.017797648906708,0.2956054639071226,5.31340311281383,7.776274919509888,cpu
4,4,4159,238.5,4.868587553501129,0.24305623210966587,5.111643785610795,8.786425352096558,cpu
5,4,5159,250.0,4.6660155057907104,0.18148701824247837,4.847502524033189,10.162840127944946,cpu
6,4,6035,219.0,4.433060169219971,0.14545095805078745,4.578511127270758,7.779997110366821,cpu
7,4,7035,250.0,4.165142595767975,0.15820089913904667,4.3233434949070215,16.933817625045776,cpu
8,4,8035,250.0,3.960928738117218,0.15502894297242165,4.11595768108964,27.947211027145386,cpu
9,4,9035,250.0,3.795573592185974,0.1305080996826291,3.9260816918686032,56.747984409332275,cpu
10,4,10035,250.0,3.6625880002975464,0.10976382624357939,3.7723518265411258,54.58570075035095,cpu
11,4,11012,244.25,3.482210487127304,0.12026149965822697,3.602471986785531,62.418216705322266,cpu
12,4,12012,250.0,3.398339480161667,0.1252149874344468,3.5235544675961137,69.7585597038269,cpu
13,4,13012,250.0,3.2078176736831665,0.13392846938222647,3.341746143065393,73.39333319664001,cpu
14,4,14012,250.0,3.043586254119873,0.061674236319959164,3.105260490439832,80.06664729118347,cpu
15,4,15012,250.0,3.028807908296585,0.0793764884583652,3.1081843967549503,80.07614779472351,cpu
16,4,16012,250.0,2.977678567171097,0.06701283459551632,3.044691401766613,78.3455548286438,cpu
17,4,17012,250.0,2.8400496542453766,0.06518700299784541,2.905236657243222,79.93052911758423,cpu
18,4,18012,250.0,2.730919599533081,0.06163962325081229,2.7925592227838933,86.75341415405273,cpu
19,4,19012,250.0,2.5389623045921326,0.049740696558728814,2.5887030011508614,83.23573327064514,cpu
0,24,5474,228.08333333333334,4.016280323266983,0.09646892482414841,4.112749248091132,102.31283521652222,cpu
1,24,11474,250.0,2.4425347626209257,0.01960586041677743,2.4621406230377034,393.40916752815247,cpu
2,24,17474,250.0,1.3954095274209977,0.01414120226399973,1.4095507296849974,608.5194022655487,cpu
3,24,11000,250.0,0.48020836263895034,0.002873108357016463,0.4830814709959668,626.250248670578,cpu
4,24,17000,250.0,0.3359005760401487,0.0009410126978764311,0.33684158873802517,649.0520083904266,cpu
5,24,23000,250.0,0.2933418557047844,0.0009188734082272276,0.2942607291130116,629.1784100532532,cpu
6,24,29000,250.0,0.2886184934526682,0.0008274434381746687,0.28944593689084286,638.7988760471344,cpu
7,24,35000,250.0,0.27040890827775,0.0006081756204366684,0.2710170838981867,614.2965302467346,cpu
8,24,41000,250.0,0.3170120608061552,0.0008817027381155639,0.3178937635442708,530.0360324382782,cpu
9,24,47000,250.0,0.29505920857191087,0.0006707516164169647,0.2957299601883278,530.6274104118347,cpu
10,24,53000,250.0,0.2890867281705141,0.0005942336349107791,0.2896809618054249,528.7327654361725,cpu
11,24,11000,250.0,0.3389765482395887,0.0006551499325723853,0.3396316981721611,409.78325176239014,cuda
12,24,17000,250.0,0.3257374167442322,0.00043621455115498974,0.3261736312953872,422.18581557273865,cuda
13,24,23000,250.0,0.29185975193977354,0.0003049998515052721,0.2921647517912788,457.8356468677521,cuda
14,24,29000,250.0,0.28653386794030666,0.00027058697924076114,0.2868044549195474,468.03712272644043,cuda
15,24,35000,250.0,0.26633001007139684,0.00018526220046624075,0.26651527227186306,461.9640176296234,cuda
16,24,41000,250.0,0.25889706499874593,0.00016500217461725696,0.25906206717336316,462.8106532096863,cuda
17,24,47000,250.0,0.25798979569226504,0.00015297699810616904,0.2581427726903712,427.8117835521698,cuda
18,24,53000,250.0,0.2257363498210907,0.0001320992088949424,0.22586844902998565,453.33053636550903,cuda
19,24,59000,250.0,0.23436941783875226,0.00012379353665892268,0.23449321137541118,434.06617403030396,cuda
20,24,65000,250.0,0.22734851762652397,0.00011695000321196858,0.22746546762973593,463.2977936267853,cuda
21,24,71000,250.0,0.22923860065639018,0.0001034268643707037,0.22934202752076088,487.6309814453125,cuda
22,24,77000,250.0,0.21152176819741725,9.054638530869852e-05,0.21161231458272595,499.3177227973938,cuda
23,24,83000,250.0,0.20581682510674,7.952903706609504e-05,0.20589635414380608,497.0284764766693,cuda
24,24,89000,250.0,0.21586816422641278,7.134242041502148e-05,0.2159395066468278,491.366672039032,cuda
25,24,95000,250.0,0.2131608059629798,6.376847486535552e-05,0.21322457443784515,488.0533957481384,cuda
26,24,101000,250.0,0.19569605514407157,6.361941741488409e-05,0.19575967456148646,446.7424428462982,cuda
27,24,107000,250.0,0.18138117864727973,5.527195080503589e-05,0.18143645059808478,475.89193415641785,cuda
28,24,113000,250.0,0.1787873027846217,5.023343655921053e-05,0.17883753622118093,485.89595556259155,cuda
29,24,119000,250.0,0.19495977126061917,4.316165500313218e-05,0.1950029329156223,479.73288226127625,cuda
30,24,125000,250.0,0.18522977344691754,4.08268049795879e-05,0.18527060025189712,476.66057991981506,cuda
31,24,131000,250.0,0.18423780165612696,4.307308308852953e-05,0.1842808747392155,501.3770983219147,cuda
32,24,137000,250.0,0.186605803668499,3.4884039496319017e-05,0.1866406877079953,511.4320058822632,cuda
33,24,143000,250.0,0.1836379302665591,3.160191586175643e-05,0.18366953218242088,507.0814836025238,cuda
34,24,149000,250.0,0.18900982569903135,3.391565737729252e-05,0.18904374135640864,503.35055780410767,cuda
35,24,155000,250.0,0.16333546824753284,2.9419954717013753e-05,0.16336488820224987,496.63086795806885,cuda
36,24,161000,250.0,0.18056662362068893,2.6457774538357626e-05,0.18059308139522728,515.1526210308075,cuda
37,24,167000,250.0,0.16346563994884492,2.3976838474482064e-05,0.16348961678731938,517.7751071453094,cuda
38,24,173000,250.0,0.1496555463410914,2.2432939840655308e-05,0.14967797928093204,521.3515734672546,cuda
39,24,179000,250.0,0.1618049655109644,2.159023597414489e-05,0.16182655574693855,534.802011013031,cuda
40,24,185000,250.0,0.16443778816610574,1.9658641758724115e-05,0.16445744680786448,506.34247732162476,cuda
41,24,191000,250.0,0.1576334993354976,1.7982058284360392e-05,0.157651481393782,506.9297263622284,cuda
42,24,197000,250.0,0.15639064367860556,1.7993900610235868e-05,0.1564086375792158,527.8750905990601,cuda
43,24,203000,250.0,0.16267062053084375,1.6842408149386757e-05,0.1626874629389931,546.518128156662,cuda
44,24,209000,250.0,0.143690961971879,1.4268572340370155e-05,0.14370523054421938,546.6099135875702,cuda
45,24,215000,250.0,0.15973411230370402,1.1868082742694241e-05,0.15974598038644672,547.5978286266327,cuda
46,24,221000,250.0,0.14956297734752297,1.404380420808593e-05,0.14957702115173105,507.1884174346924,cuda
47,24,227000,250.0,0.13794537903741003,1.2644121943594655e-05,0.13795802315935363,554.3457455635071,cuda
48,24,233000,250.0,0.15779923358932138,1.1261903523518413e-05,0.1578104954928449,507.48017382621765,cuda
49,24,239000,250.0,0.14710750952363014,1.1032335805793991e-05,0.14711854185943593,536.6634831428528,cuda
50,24,245000,250.0,0.14977184887975453,1.1068344247178174e-05,0.14978291722400172,475.6351556777954,cuda
