iteration,games,samples,avg_length,policy_loss,value_loss,total_loss,seconds,device
0,4,967,241.75,5.050013780593872,0.4712239019572735,5.5212376825511456,8.10657286643982,cpu
1,4,1967,250.0,4.802248954772949,0.22819427773356438,5.030443232506514,8.450070142745972,cpu
2,4,2967,250.0,4.549825608730316,0.13580339215695858,4.685629000887275,8.510161876678467,cpu
3,4,3967,250.0,4.145208150148392,0.0712796151638031,4.216487765312195,8.225616455078125,cpu
4,4,4967,250.0,3.7785949110984802,0.0786321610212326,3.857227072119713,16.312835454940796,cpu
5,4,5967,250.0,3.3575745224952698,0.05249413021374494,3.4100686527090147,30.738919496536255,cpu
6,4,6967,250.0,3.04820853471756,0.054742923472076654,3.1029514581896365,46.82416009902954,cpu
7,4,7967,250.0,2.717012107372284,0.03374947739939671,2.7507615847716806,55.79912877082825,cpu
8,4,8967,250.0,2.5874978601932526,0.05142466725374106,2.6389225274469936,59.464086055755615,cpu
9,4,9967,250.0,2.534757524728775,0.025740796168975066,2.56049832089775,69.77736473083496,cpu
10,4,10967,250.0,2.341878667473793,0.022780038649216294,2.3646587061230093,60.5188672542572,cpu
11,4,11967,250.0,2.2723785042762756,0.022002628888003528,2.294381133164279,67.17475605010986,cpu
12,4,12967,250.0,2.223706915974617,0.029926252434961498,2.2536331684095785,66.62696290016174,cpu
13,4,13967,250.0,2.1357539147138596,0.025838169909548014,2.1615920846234076,63.608229875564575,cpu
14,4,14967,250.0,2.0452565103769302,0.027974102762527764,2.073230613139458,56.53000569343567,cpu
15,4,15967,250.0,2.161470055580139,0.019944425555877388,2.1814144811360165,67.03479552268982,cpu
16,4,16967,250.0,2.020591676235199,0.02117760558030568,2.0417692818155047,66.45139575004578,cpu
17,4,17967,250.0,1.955961138010025,0.01237893798679579,1.9683400759968208,67.15178275108337,cpu
18,4,18967,250.0,1.9301773458719254,0.014703278036904521,1.9448806239088299,75.49208807945251,cpu
19,4,19967,250.0,1.7839862257242203,0.015155023342231289,1.7991412490664516,64.38710165023804,cpu
